Adventure name , 2019-05-07 18:41:14.67
Adventure name , 2019-05-07 18:42:00.262
Adventure name , 2019-05-10 17:42:49.59
Adventure name , 2019-05-10 17:49:43.825
Adventure name , 2019-05-10 17:51:21.602
Adventure name , 2019-05-10 17:51:41.685
Adventure name , 2019-05-10 17:53:42.722
Adventure name , 2019-06-02 16:38:32.985
Adventure name , 2019-06-02 16:38:41.952
Adventure name , 2019-06-02 16:38:43.044
Adventure name , 2019-06-02 16:39:41.699
Adventure name , 2019-06-02 16:39:47.403
Adventure name , 2019-06-02 16:39:54.43
Adventure name , 2019-06-02 16:44:49.09 , AWT-EventQueue-0
Adventure name , 2019-06-02 17:10:52.51 , Thread-0
